Tiempo,acc X,acc Y,acc Z,giro X,giro Y,giro Z,temperatura
1.9488308429718018,-1.647211,-3.227384,9.733628,-0.044499,-0.003464,-0.012257,26.088821
2.0553908348083496,-1.70946,-3.342306,10.120291,-0.0429,-0.004263,-0.01279,26.088821
2.165715456008911,-1.705869,-3.354277,10.128671,-0.0437,-0.003997,-0.012524,26.100585
2.276029109954834,-1.705869,-3.361459,10.117897,-0.044233,-0.00373,-0.012524,26.106468
2.3826653957366943,-1.707066,-3.354277,10.135853,-0.045299,-0.00373,-0.01279,26.109409
2.4930641651153564,-1.704672,-3.350685,10.13705,-0.043966,-0.004263,-0.012524,26.106468
2.603126049041748,-1.70946,-3.354277,10.129868,-0.043433,-0.003464,-0.01279,26.118232
2.7110302448272705,-1.707066,-3.356671,10.141839,-0.045299,-0.003997,-0.01279,26.11235
2.8210806846618652,-1.704672,-3.355474,10.134656,-0.045299,-0.003997,-0.012524,26.11235
2.9310648441314697,-1.70108,-3.355474,10.141839,-0.0429,-0.00373,-0.011991,26.115291
3.0380327701568604,-1.710657,-3.348291,10.13346,-0.044233,-0.003464,-0.012524,26.118232
3.1486778259277344,-1.708263,-3.35308,10.141839,-0.045565,-0.003464,-0.013057,26.121173
3.258995771408081,-1.704672,-3.355474,10.149022,-0.045299,-0.003997,-0.012524,26.121173
3.3665459156036377,-1.704672,-3.357868,10.139445,-0.044233,-0.004263,-0.012257,26.115291
3.476034164428711,-1.704672,-3.359065,10.138248,-0.043966,-0.00373,-0.012524,26.121173
3.5868523120880127,-1.713051,-3.347094,10.131065,-0.044766,-0.00373,-0.012524,26.129999
3.693812847137451,-1.705869,-3.355474,10.134656,-0.045299,-0.003997,-0.012524,26.124116
3.8041255474090576,-1.711854,-3.348291,10.131065,-0.044499,-0.003997,-0.012257,26.127058
3.9146909713745117,-1.70946,-3.357868,10.129868,-0.052493,-0.002931,-0.01359,26.127058
4.021218776702881,-1.708263,-3.365051,10.132262,-0.043966,-0.004263,-0.012257,26.124116
4.132112979888916,-1.705869,-3.371036,10.129868,-0.042101,-0.003997,-0.012257,26.11235
4.242033004760742,-1.702277,-3.363853,10.141839,-0.045032,-0.003464,-0.012524,26.127058
4.352461576461792,-1.704672,-3.363853,10.135853,-0.044233,-0.004263,-0.012524,26.118232
4.46002459526062,-1.70946,-3.363853,10.131065,-0.044233,-0.003997,-0.011991,26.127058
4.570138454437256,-1.708263,-3.35308,10.131065,-0.044766,-0.003198,-0.012524,26.118232
4.680050849914551,-1.70946,-3.367445,10.13705,-0.044499,-0.00373,-0.01279,26.121173
4.787200450897217,-1.713051,-3.362656,10.143036,-0.044499,-0.003997,-0.01279,26.121173
4.897215366363525,-1.702277,-3.360262,10.134656,-0.044499,-0.003464,-0.012524,26.13294
5.00814151763916,-1.705869,-3.366248,10.129868,-0.044499,-0.003464,-0.012257,26.129999
5.1152989864349365,-1.705869,-3.351882,10.131065,-0.044233,-0.003997,-0.012524,26.127058
5.225731372833252,-1.692701,-3.351882,10.131065,-0.044499,-0.003997,-0.012257,26.124116
5.336036920547485,-1.70946,-3.347094,10.139445,-0.044499,-0.003464,-0.013057,26.129999
5.442748785018921,-1.708263,-3.356671,10.138248,-0.044233,-0.003464,-0.011724,26.135881
5.552674055099487,-1.70108,-3.365051,10.134656,-0.043966,-0.003997,-0.012257,26.127058
5.663214206695557,-1.708263,-3.355474,10.132262,-0.044499,-0.00373,-0.01279,26.127058
5.770813941955566,-1.70108,-3.35308,10.132262,-0.045299,-0.002931,-0.012524,26.121173
5.880575180053711,-1.704672,-3.368642,10.129868,-0.045032,-0.00373,-0.012524,26.115291
5.991030693054199,-1.710657,-3.359065,10.13346,-0.044766,-0.00373,-0.01279,26.127058
6.09807014465332,-1.704672,-3.357868,10.131065,-0.044499,-0.003464,-0.012257,26.127058
6.208360433578491,-1.708263,-3.360262,10.131065,-0.044233,-0.003997,-0.013057,26.135881
6.318708896636963,-1.698686,-3.357868,10.139445,-0.044233,-0.003464,-0.01279,26.135881
6.425431489944458,-1.716643,-3.365051,10.129868,-0.045032,-0.003464,-0.01279,26.141763
6.536198616027832,-1.713051,-3.357868,10.147825,-0.044766,-0.003997,-0.012257,26.135881
6.646305799484253,-1.707066,-3.363853,10.128671,-0.043966,-0.004263,-0.012257,26.144704
6.75387978553772,-1.703474,-3.365051,10.134656,-0.044233,-0.003198,-0.01279,26.147645
6.863996982574463,-1.703474,-3.356671,10.128671,-0.045299,-0.003464,-0.012257,26.138822
6.9744768142700195,-1.703474,-3.363853,10.12508,-0.044766,-0.00373,-0.013057,26.138822
7.081650733947754,-1.713051,-3.357868,10.139445,-0.043433,-0.00373,-0.012257,26.124116
7.1918110847473145,-1.711854,-3.359065,10.134656,-0.044766,-0.00373,-0.012257,26.129999
7.302223443984985,-1.705869,-3.354277,10.128671,-0.044766,-0.003464,-0.012524,26.144704
7.412441730499268,-1.714248,-3.362656,10.141839,-0.044233,-0.003997,-0.012524,26.138822
7.5193750858306885,-1.714248,-3.35308,10.146627,-0.043966,-0.003997,-0.012524,26.147645
7.629989385604858,-1.70946,-3.360262,10.120291,-0.044766,-0.003464,-0.012524,26.144704
7.739889860153198,-1.697489,-3.35308,10.13346,-0.044233,-0.003997,-0.012257,26.144704
7.847239017486572,-1.704672,-3.354277,10.140642,-0.044233,-0.004263,-0.01279,26.138822
7.957266330718994,-1.70946,-3.365051,10.140642,-0.045299,-0.00373,-0.011724,26.141763
8.068223714828491,-1.707066,-3.356671,10.143036,-0.044766,-0.003997,-0.012524,26.147645
8.174821376800537,-1.711854,-3.35308,10.119094,-0.043966,-0.003997,-0.012257,26.141763
8.285387754440308,-1.708263,-3.35308,10.14543,-0.043966,-0.00373,-0.012524,26.147645
8.395263195037842,-1.703474,-3.355474,10.13346,-0.044766,-0.003464,-0.012257,26.144704
8.502831220626831,-1.704672,-3.355474,10.13346,-0.044233,-0.003464,-0.012257,26.141763
8.612812280654907,-1.708263,-3.355474,10.138248,-0.044766,-0.00373,-0.013057,26.138822
8.72380018234253,-1.703474,-3.365051,10.132262,-0.044233,-0.00373,-0.012257,26.144704
8.830602884292603,-1.707066,-3.363853,10.13705,-0.044499,-0.00373,-0.012257,26.141763
8.941074848175049,-1.70108,-3.354277,10.132262,-0.045032,-0.003464,-0.013057,26.147645
9.050431966781616,-1.710657,-3.360262,10.138248,-0.045032,-0.003198,-0.01279,26.150587
9.157959461212158,-1.699883,-3.359065,10.127473,-0.044233,-0.003997,-0.012257,26.15941
9.268080711364746,-1.703474,-3.365051,10.129868,-0.044766,-0.003997,-0.012524,26.153528
9.378950357437134,-1.702277,-3.359065,10.13705,-0.044499,-0.00373,-0.012257,26.153528
9.486034631729126,-1.715445,-3.360262,10.126276,-0.044233,-0.00373,-0.01279,26.144704
9.596045732498169,-1.715445,-3.359065,10.121488,-0.045032,-0.00373,-0.011724,26.144704
9.706062078475952,-1.720234,-3.356671,10.139445,-0.044233,-0.003198,-0.01279,26.156469
9.813071727752686,-1.70946,-3.359065,10.138248,-0.044499,-0.004263,-0.012524,26.15941
9.92405104637146,-1.699883,-3.359065,10.132262,-0.044766,-0.00373,-0.013057,26.162351
10.034080266952515,-1.705869,-3.359065,10.134656,-0.044499,-0.003464,-0.012257,26.147645
10.141114950180054,-1.714248,-3.354277,10.13705,-0.044499,-0.00373,-0.012524,26.15941
10.251874685287476,-1.703474,-3.365051,10.13705,-0.044233,-0.00373,-0.012524,26.162351
10.362070083618164,-1.708263,-3.362656,10.13705,-0.045299,-0.003464,-0.013057,26.147645
10.472859382629395,-1.704672,-3.354277,10.126276,-0.044233,-0.003997,-0.012524,26.144704
10.579311847686768,-1.708263,-3.35308,10.134656,-0.044233,-0.003997,-0.012524,26.156469
10.690026044845581,-1.702277,-3.354277,10.13705,-0.044766,-0.003997,-0.01279,26.162351
10.799849510192871,-1.70946,-3.356671,10.126276,-0.044499,-0.00373,-0.012257,26.156469
10.907041549682617,-1.697489,-3.359065,10.13346,-0.043167,-0.003464,-0.012257,26.147645
11.017887353897095,-1.711854,-3.363853,10.128671,-0.043966,-0.00373,-0.012257,26.156469
11.128060579299927,-1.704672,-3.374627,10.134656,-0.044766,-0.003997,-0.013057,26.156469
11.234904527664185,-1.714248,-3.357868,10.129868,-0.044499,-0.004263,-0.011991,26.150587
11.344806909561157,-1.713051,-3.361459,10.138248,-0.044233,-0.00373,-0.01279,26.153528
11.455897331237793,-1.705869,-3.359065,10.134656,-0.044499,-0.00373,-0.012524,26.15941
11.562489032745361,-1.711854,-3.365051,10.144233,-0.045299,-0.00373,-0.012524,26.156469
11.67285966873169,-1.702277,-3.348291,10.122685,-0.044499,-0.003997,-0.012524,26.156469
11.783039093017578,-1.702277,-3.363853,10.132262,-0.044233,-0.00373,-0.013057,26.165292
11.89035177230835,-1.704672,-3.350685,10.127473,-0.044233,-0.00373,-0.012257,26.156469
12.001080513000488,-1.707066,-3.363853,10.147825,-0.044766,-0.002931,-0.01279,26.153528
12.111043691635132,-1.705869,-3.369839,10.127473,-0.044499,-0.003198,-0.013057,26.15941
12.218063592910767,-1.704672,-3.362656,10.13346,-0.043966,-0.003464,-0.01279,26.156469
12.328514575958252,-1.693898,-3.356671,10.139445,-0.043966,-0.003997,-0.01279,26.165292
12.439038038253784,-1.705869,-3.349488,10.128671,-0.044499,-0.004263,-0.012257,26.15941
12.54603910446167,-1.704672,-3.357868,10.134656,-0.045032,-0.003997,-0.012257,26.153528
12.65658187866211,-1.697489,-3.356671,10.144233,-0.044499,-0.003997,-0.012257,26.150587
12.767027616500854,-1.704672,-3.361459,10.135853,-0.044233,-0.003198,-0.011724,26.15941
12.873162508010864,-1.699883,-3.355474,10.13346,-0.044233,-0.004263,-0.012257,26.150587
12.983603715896606,-1.715445,-3.356671,10.12508,-0.045032,-0.003997,-0.012524,26.156469
13.094367504119873,-1.720234,-3.359065,10.121488,-0.044766,-0.003997,-0.012524,26.144704
13.204922914505005,-1.714248,-3.361459,10.131065,-0.043966,-0.004263,-0.01279,26.147645
13.311531782150269,-1.715445,-3.356671,10.129868,-0.044499,-0.004263,-0.013057,26.15941
13.422399520874023,-1.711854,-3.365051,10.121488,-0.044766,-0.00373,-0.013057,26.147645
13.532074451446533,-1.715445,-3.357868,10.134656,-0.044499,-0.003464,-0.011991,26.15941
13.639395236968994,-1.704672,-3.361459,10.13705,-0.044233,-0.00453,-0.011991,26.165292
13.750172138214111,-1.707066,-3.354277,10.127473,-0.043966,-0.003997,-0.012257,26.15941
13.860046863555908,-1.703474,-3.362656,10.13346,-0.044766,-0.003198,-0.012257,26.165292
13.967041492462158,-1.719037,-3.372233,10.127473,-0.045299,-0.003198,-0.012524,26.153528
14.077035903930664,-1.703474,-3.360262,10.134656,-0.044233,-0.00373,-0.01279,26.162351
14.188064098358154,-1.708263,-3.355474,10.13705,-0.044233,-0.00373,-0.012257,26.171175
14.29483962059021,-1.714248,-3.362656,10.126276,-0.044766,-0.00373,-0.01279,26.147645
14.405534505844116,-1.715445,-3.360262,10.141839,-0.044233,-0.00373,-0.012257,26.153528
14.515580415725708,-1.702277,-3.349488,10.127473,-0.044499,-0.003464,-0.012257,26.153528
14.622214555740356,-1.704672,-3.356671,10.140642,-0.044233,-0.00373,-0.012257,26.156469
14.732988595962524,-1.713051,-3.35308,10.139445,-0.044233,-0.003198,-0.011991,26.150587
14.843410730361938,-1.702277,-3.362656,10.132262,-0.044499,-0.003464,-0.012257,26.156469
14.95003366470337,-1.707066,-3.354277,10.13705,-0.044499,-0.003997,-0.012257,26.162351
15.06109094619751,-1.710657,-3.356671,10.138248,-0.044766,-0.003464,-0.01279,26.168233
15.171420097351074,-1.697489,-3.360262,10.131065,-0.044499,-0.003464,-0.01279,26.171175
15.278165817260742,-1.70946,-3.362656,10.12508,-0.044499,-0.003997,-0.012257,26.162351
15.38843822479248,-1.702277,-3.361459,10.139445,-0.0437,-0.004263,-0.012524,26.162351
15.499003171920776,-1.707066,-3.361459,10.131065,-0.044499,-0.00373,-0.011991,26.168233
15.605957984924316,-1.703474,-3.362656,10.127473,-0.044499,-0.003997,-0.011991,26.174116
15.716468811035156,-1.702277,-3.365051,10.128671,-0.044499,-0.003464,-0.012524,26.168233
15.826036930084229,-1.70946,-3.366248,10.138248,-0.044499,-0.003997,-0.012524,26.174116
15.93368935585022,-1.696292,-3.356671,10.140642,-0.044233,-0.004263,-0.011991,26.177057
16.04403042793274,-1.707066,-3.357868,10.144233,-0.044233,-0.003464,-0.013057,26.177057
16.15459704399109,-1.702277,-3.356671,10.131065,-0.045032,-0.00373,-0.01279,26.177057
16.264477968215942,-1.707066,-3.35308,10.134656,-0.044499,-0.00373,-0.012524,26.165292
16.371213912963867,-1.704672,-3.365051,10.135853,-0.0437,-0.00453,-0.012524,26.171175
16.481483697891235,-1.707066,-3.367445,10.132262,-0.044766,-0.004796,-0.012524,26.165292
16.592519760131836,-1.707066,-3.349488,10.129868,-0.045032,-0.003997,-0.011991,26.171175
16.699418306350708,-1.70108,-3.367445,10.129868,-0.044233,-0.003464,-0.011724,26.171175
16.810494422912598,-1.705869,-3.363853,10.127473,-0.044233,-0.003464,-0.012524,26.156469
16.920047521591187,-1.697489,-3.362656,10.139445,-0.044233,-0.004263,-0.01279,26.171175
17.02726650238037,-1.710657,-3.362656,10.132262,-0.044766,-0.00373,-0.011991,26.168233
17.137555837631226,-1.703474,-3.363853,10.134656,-0.044233,-0.003464,-0.012257,26.171175
17.24774980545044,-1.699883,-3.363853,10.13705,-0.043966,-0.004263,-0.012257,26.174116
17.35477375984192,-1.703474,-3.355474,10.129868,-0.044499,-0.003997,-0.012257,26.177057
17.46579933166504,-1.710657,-3.363853,10.13346,-0.045032,-0.003464,-0.011991,26.171175
17.575328826904297,-1.711854,-3.368642,10.128671,-0.045032,-0.00373,-0.012524,26.171175
17.682353019714355,-1.708263,-3.362656,10.139445,-0.044766,-0.003997,-0.012257,26.174116
17.793380975723267,-1.707066,-3.360262,10.123883,-0.044766,-0.003997,-0.01279,26.174116
17.90275740623474,-1.708263,-3.361459,10.131065,-0.044233,-0.003464,-0.011991,26.174116
18.010749340057373,-1.696292,-3.360262,10.128671,-0.044233,-0.00373,-0.011991,26.177057
18.120776891708374,-1.699883,-3.359065,10.111911,-0.044499,-0.00373,-0.012257,26.179998
18.23080277442932,-1.708263,-3.366248,10.139445,-0.044766,-0.003198,-0.012524,26.177057
18.33780860900879,-1.715445,-3.35308,10.13705,-0.045032,-0.003464,-0.012257,26.182939
18.448522329330444,-1.708263,-3.350685,10.140642,-0.044233,-0.004263,-0.012524,26.179998
18.559083700180054,-1.710657,-3.356671,10.13346,-0.044233,-0.00373,-0.012524,26.171175
18.668551921844482,-1.702277,-3.356671,10.128671,-0.045032,-0.003997,-0.01279,26.171175
18.776078701019287,-1.70108,-3.342306,10.138248,-0.045565,-0.003198,-0.01279,26.179998
18.88652515411377,-1.704672,-3.369839,10.121488,-0.044233,-0.003997,-0.012524,26.171175
18.996702194213867,-1.713051,-3.35308,10.120291,-0.043966,-0.004796,-0.012524,26.15941
19.10384249687195,-1.702277,-3.360262,10.139445,-0.0437,-0.003997,-0.01279,26.177057
19.214035987854004,-1.704672,-3.356671,10.131065,-0.045299,-0.003198,-0.012524,26.171175
19.325040578842163,-1.704672,-3.363853,10.139445,-0.045032,-0.003997,-0.012257,26.179998
19.43195605278015,-1.70108,-3.360262,10.119094,-0.043966,-0.004263,-0.012257,26.174116
19.542118072509766,-1.697489,-3.356671,10.135853,-0.043966,-0.00373,-0.01279,26.171175
19.652539253234863,-1.714248,-3.359065,10.129868,-0.044766,-0.003198,-0.012524,26.171175
19.76004958152771,-1.711854,-3.359065,10.13346,-0.044499,-0.00373,-0.012524,26.174116
19.870063304901123,-1.710657,-3.357868,10.131065,-0.043966,-0.004263,-0.01279,26.179998
19.9800386428833,-1.713051,-3.355474,10.129868,-0.044766,-0.003198,-0.012524,26.179998
20.087042093276978,-1.707066,-3.357868,10.129868,-0.045565,-0.003198,-0.01279,26.171175
20.19756531715393,-1.70946,-3.365051,10.141839,-0.044766,-0.003997,-0.012257,26.174116
20.308130979537964,-1.711854,-3.359065,10.126276,-0.0437,-0.00453,-0.012257,26.182939
20.41458296775818,-1.710657,-3.354277,10.132262,-0.044499,-0.00373,-0.012257,26.179998
20.525147914886475,-1.703474,-3.360262,10.128671,-0.045032,-0.003464,-0.012524,26.174116
20.63505244255066,-1.715445,-3.365051,10.115503,-0.045565,-0.003198,-0.012257,26.18588
20.74304223060608,-1.705869,-3.357868,10.12508,-0.043966,-0.003997,-0.012524,26.188823
20.853076457977295,-1.713051,-3.355474,10.12508,-0.043966,-0.00373,-0.011724,26.188823
20.963578462600708,-1.70108,-3.355474,10.131065,-0.044766,-0.003198,-0.012524,26.179998
21.070096492767334,-1.702277,-3.362656,10.141839,-0.045299,-0.003464,-0.012524,26.188823
21.18004274368286,-1.696292,-3.365051,10.132262,-0.045299,-0.00373,-0.012524,26.182939
21.29108500480652,-1.702277,-3.361459,10.138248,-0.0437,-0.00373,-0.012524,26.194705
21.398072004318237,-1.702277,-3.360262,10.132262,-0.044499,-0.004263,-0.012524,26.194705
21.508605480194092,-1.722628,-3.361459,10.13346,-0.045032,-0.003198,-0.012257,26.179998
21.61874508857727,-1.715445,-3.356671,10.13705,-0.044499,-0.00453,-0.011991,26.200588
21.7290678024292,-1.702277,-3.35308,10.122685,-0.044499,-0.00453,-0.012257,26.191764
21.836188077926636,-1.70946,-3.357868,10.134656,-0.045032,-0.003464,-0.011724,26.191764
21.946608066558838,-1.70946,-3.360262,10.134656,-0.044499,-0.00373,-0.012524,26.188823
22.05720353126526,-1.711854,-3.355474,10.128671,-0.044499,-0.003198,-0.011991,26.182939
22.163267850875854,-1.704672,-3.366248,10.13705,-0.043966,-0.003997,-0.012257,26.179998
22.274068593978882,-1.707066,-3.356671,10.12508,-0.044499,-0.00373,-0.013057,26.18588
22.384039163589478,-1.702277,-3.35308,10.13346,-0.045299,-0.003464,-0.01279,26.174116
22.492010354995728,-1.702277,-3.356671,10.134656,-0.044499,-0.00373,-0.012524,26.177057
22.602200031280518,-1.711854,-3.359065,10.134656,-0.044233,-0.003997,-0.011991,26.177057
22.71199131011963,-1.708263,-3.357868,10.121488,-0.044233,-0.003997,-0.01279,26.18588
22.819058656692505,-1.708263,-3.363853,10.14543,-0.045032,-0.00373,-0.012524,26.188823
22.929049968719482,-1.70946,-3.356671,10.132262,-0.044766,-0.004263,-0.012524,26.188823
23.040040969848633,-1.704672,-3.360262,10.128671,-0.044766,-0.003997,-0.012257,26.18588
23.147248029708862,-1.70946,-3.359065,10.120291,-0.044499,-0.003464,-0.012524,26.182939
23.257368087768555,-1.703474,-3.357868,10.117897,-0.044499,-0.00373,-0.012257,26.179998
23.367656469345093,-1.70946,-3.357868,10.126276,-0.044499,-0.003198,-0.012257,26.179998
23.47466516494751,-1.704672,-3.357868,10.126276,-0.043966,-0.003997,-0.013057,26.182939
23.585047960281372,-1.703474,-3.362656,10.132262,-0.044766,-0.00373,-0.013057,26.174116
23.695769548416138,-1.715445,-3.356671,10.135853,-0.044233,-0.00373,-0.012524,26.182939
23.802248001098633,-1.710657,-3.362656,10.139445,-0.044233,-0.00373,-0.012524,26.197647
23.912814378738403,-1.704672,-3.360262,10.14543,-0.044766,-0.003997,-0.01279,26.194705
24.023660898208618,-1.70946,-3.362656,10.131065,-0.044766,-0.003997,-0.012257,26.18588
24.130077600479126,-1.70946,-3.356671,10.128671,-0.044499,-0.003464,-0.012257,26.18588
24.24062204360962,-1.708263,-3.355474,10.131065,-0.044233,-0.00373,-0.01279,26.18588
24.351063013076782,-1.708263,-3.362656,10.13705,-0.045032,-0.00373,-0.01279,26.18588
24.458237171173096,-1.704672,-3.361459,10.126276,-0.044766,-0.003464,-0.01279,26.188823
24.568060636520386,-1.711854,-3.355474,10.140642,-0.044766,-0.003997,-0.012524,26.182939
24.67811417579651,-1.70108,-3.365051,10.131065,-0.044499,-0.003464,-0.01279,26.18588
24.786044359207153,-1.705869,-3.357868,10.129868,-0.045299,-0.003464,-0.01279,26.194705
24.895944833755493,-1.713051,-3.361459,10.123883,-0.045299,-0.003464,-0.012257,26.18588
25.00608253479004,-1.702277,-3.35308,10.132262,-0.0437,-0.00453,-0.012524,26.18588
25.117255210876465,-1.703474,-3.366248,10.141839,-0.044233,-0.003997,-0.012524,26.179998
25.2240469455719,-1.707066,-3.362656,10.13705,-0.044499,-0.004263,-0.013057,26.182939
25.334294080734253,-1.708263,-3.361459,10.128671,-0.044499,-0.003997,-0.012257,26.191764
25.444692611694336,-1.715445,-3.354277,10.131065,-0.044766,-0.00373,-0.01279,26.188823
25.551716804504395,-1.703474,-3.361459,10.117897,-0.044233,-0.00373,-0.01279,26.194705
25.661856174468994,-1.713051,-3.355474,10.120291,-0.044499,-0.004263,-0.01279,26.182939
25.772770881652832,-1.707066,-3.366248,10.14543,-0.045032,-0.003464,-0.012524,26.200588
25.87900972366333,-1.708263,-3.349488,10.143036,-0.044766,-0.00373,-0.01279,26.188823
25.989070892333984,-1.705869,-3.362656,10.122685,-0.044766,-0.003997,-0.01279,26.20647
26.100048542022705,-1.708263,-3.35308,10.134656,-0.045032,-0.00453,-0.012257,26.194705
26.206690073013306,-1.707066,-3.360262,10.13705,-0.044499,-0.003464,-0.012524,26.194705
26.317426681518555,-1.70946,-3.361459,10.123883,-0.044499,-0.003997,-0.012524,26.188823
26.427496433258057,-1.70946,-3.368642,10.132262,-0.044499,-0.004263,-0.01279,26.200588
26.534745931625366,-1.708263,-3.362656,10.129868,-0.044766,-0.004263,-0.013057,26.191764
26.64531135559082,-1.704672,-3.356671,10.12508,-0.044233,-0.003198,-0.012524,26.194705
26.75575876235962,-1.714248,-3.359065,10.126276,-0.044499,-0.004263,-0.011991,26.194705
26.86232852935791,-1.713051,-3.362656,10.12508,-0.044766,-0.003997,-0.012524,26.197647
26.972763299942017,-1.711854,-3.363853,10.127473,-0.044499,-0.003464,-0.012524,26.194705
27.083313941955566,-1.707066,-3.360262,10.131065,-0.044499,-0.00373,-0.013057,26.191764
27.18996262550354,-1.703474,-3.365051,10.120291,-0.045032,-0.00373,-0.012524,26.197647
27.30115032196045,-1.70108,-3.365051,10.141839,-0.0437,-0.003997,-0.012524,26.194705
27.411052465438843,-1.707066,-3.359065,10.117897,-0.044233,-0.003464,-0.012524,26.197647
27.517776250839233,-1.70946,-3.355474,10.138248,-0.044499,-0.00373,-0.01279,26.197647
27.62834119796753,-1.707066,-3.362656,10.1167,-0.044499,-0.003997,-0.01279,26.194705
27.738052129745483,-1.702277,-3.361459,10.126276,-0.044499,-0.004263,-0.01279,26.20647
27.84588360786438,-1.707066,-3.362656,10.128671,-0.044233,-0.00373,-0.01279,26.212352
27.95608139038086,-1.703474,-3.351882,10.138248,-0.045299,-0.00373,-0.012524,26.209411
28.066069841384888,-1.716643,-3.360262,10.126276,-0.044766,-0.00373,-0.012257,26.209411
28.173664331436157,-1.703474,-3.359065,10.122685,-0.044499,-0.003997,-0.012524,26.212352
28.284173488616943,-1.699883,-3.349488,10.127473,-0.044233,-0.003464,-0.011991,26.203529
