estado;f_motor (Hz);w_f (rad/s);P_m (N·m);theta_m_teorico (rad);theta_m_exp (rad);FA;r = w_f/w_n;phi_teorico (rad);phi_exp (rad)
abierto;2.5;15.707963267948966;0.6235616060608256;0.0003049447272716295;0.0003540953181272509;1.7035781934882817;0.564428796575;0.023704040200120218;0.6685522577300669
abierto;2.8;17.59291886010284;0.7821956786426996;0.0004340857789572051;0.0004898348139255703;1.8786915881799036;0.6321602521640001;0.030128937623056965;0.3419723011739768
abierto;3.1;19.477874452256717;0.9587883254791254;0.0006259903670218898;0.000653601680672269;2.045086480414698;0.699891707753;0.039248046435870876;0.13030051031147252
cerrado;2.5;15.707963267948966;0.6235616060608256;0.00031414416604906987;0.0003416387755102041;1.6436488657555937;0.5840895964499998;0.09222570853534943;1.5766590697063727
cerrado;2.8;17.59291886010284;0.7821956786426996;0.0004525772578908479;0.00047188283313325327;1.8098393254438014;0.6541803480239997;0.11874160569542674;0.8281863066424278
cerrado;3.1;19.477874452256717;0.9587883254791254;0.0006638914411838857;0.0006737518607442978;2.1081353709879935;0.7242710995979997;0.157609386816332;0.0670838121896378
