t,x,y,angulo,omega_rad_s,alpha_rad_s2
0.0,-26.06383,-2.482835,-174.558436066284,0.0034892365406885423,-0.052338545493623934
0.03333333,-26.05582,-2.48513,-174.5517721160336,0.0017446185320295626,-7.710822463848089
0.06666667,-26.05582,-2.48513,-174.5517721160336,-0.5105657732549602,-27.842293352934412
0.1,-26.24609,-1.604365,-176.50198922656878,-1.8544081150115872,-35.0903076193341
0.1333333,-26.38361,0.7531287,-181.6350825879477,-2.849918641397146,-16.463806219826917
0.1666667,-26.18715,3.3954860000000004,-187.3878838691006,-2.9519930648150137,-3.53753883861593
0.2,-25.56831,5.861031,-192.9108718329473,-3.0857545868271927,-6.461508351713199
0.2333333,-24.7923,8.621264,-199.1745863782752,-3.382759857495337,-3.2802922525378833
0.2666667,-23.67249,11.46008,-205.83207033750944,-3.304439720362815,2.358691703367178
0.3,-22.41516,13.896159999999998,-211.7966247434996,-3.2255136671329225,-0.6716122249236776
0.3333333,-20.76492,16.31259,-218.1526126761869,-3.3492138239169122,-3.118693180581694
0.3666667,-18.82981,18.56203,-224.5896858363789,-3.433426531331584,-0.054967571222270806
0.4,-16.59019,20.683770000000003,-231.26734181264416,-3.352878824778294,0.6962160037438352
0.4333333,-14.36039,22.45189,-237.39672675456376,-3.387012177496395,-3.263714516619018
0.4666667,-11.63945,24.08249,-244.20478384598204,-3.570460349286634,-1.9689247749090626
0.5,-8.741701,25.43805,-251.03488743630183,-3.5182746016886384,5.063815951884642
0.5333333,-5.755542999999999,26.273000000000003,-257.64358946348494,-3.2328729567487215,10.475962582715638
0.5666667,-3.103362,26.75432,-263.383556079286,-2.819876364194002,24.404007994211113
0.6,-0.7458688,26.95078,-268.4147312698443,-1.6059406798244424,41.91720792821784
0.6333333,-0.2252557,26.76414,-269.5177914851985,-0.025398630126673538,35.20921206246502
0.6666667,-0.6924185,26.65109,-268.5117406117998,0.7413388565572632,14.87195680212419
0.7,-1.535844,26.5243,-266.68608668351385,0.9660672784354176,-0.9631067189660367
0.7333333,-2.395807,26.4361,-264.8216391165691,0.677131806166642,-8.680437902139754
0.7666667,-2.732075,26.4361,-264.09963583980226,0.3873711264718196,-3.8319813187982064
0.8,-3.090393,26.47469,-263.34198977354214,0.42166528501783773,1.030790597521401
0.8333333,-3.492812,26.49122,-262.4889947038648,0.4560904309205398,0.16405320308594273
0.8666667,-3.906256,26.45264,-261.5998516761676,0.4326019969513055,-2.7231114033624717
0.9,-4.259061,26.40302,-260.8365755911132,0.27454998361734795,-7.062668728638269
0.9333333,-4.396876000000001,26.41956,-260.5511490364273,-0.03824211411333067,-7.4359890320955575
0.9666667,-4.187398,26.38648,-260.982651930827,-0.2211824768314159,-1.7702463281221972
1.0,-3.99997,26.4361,-261.396004341615,-0.1562593385859543,1.8551917760329508
1.033333,-3.911768,26.42507,-261.5795174239667,-0.09750364983052862,0.7080480883804479
1.066667,-3.823567,26.43059,-261.7684428741609,-0.10905800598993665,0.1411912274250926
1.1,-3.713315,26.408530000000003,-261.9960892427011,-0.08809182988710518,1.2084724537683635
1.133333,-3.663702,26.41956,-262.1049255134419,-0.02849398138701531,1.0513050877815884
1.166667,-3.663702,26.41956,-262.1049255134419,-0.01800594691856361,0.7359934236883338
1.2,-3.630627,26.41405,-262.1737014450029,0.020571649485290777,1.1382945165172655
1.233333,-3.696778,26.392,-262.0263483863457,0.05787959531957654,1.6150637015694753
1.266667,-3.729853,26.38097,-261.9526187795936,0.1282440929209656,1.680182808009647
1.3,-3.917281,26.32585,-261.5364998574555,0.16989320398803898,-0.4858362630921256
1.333333,-4.027533,26.33136,-261.303681031938,0.09585533260566592,-1.4204339565640622
1.366667,-4.0936840000000005,26.35341,-261.1703606117137,0.0751987348785974,-1.1017953535238743
1.4,-4.165347,26.347900000000003,-261.01644220492926,0.022402905977457976,-2.3480306034588025
1.433333,-4.132272,26.34238,-261.08478867001924,-0.08133507333158718,-2.6182788767382865
1.466667,-4.016507,26.33136,-261.32712607309605,-0.15214890409998816,-2.165056124507058
1.5,-3.862155,26.36443,-261.6659546850306,-0.22567278861794193,-1.996461151391813
1.533333,-3.619601,26.38648,-262.1891240089476,-0.285244983218675,-0.6988797361089345
1.566667,-3.36051,26.4361,-262.75551700673594,-0.27226282734451956,3.6665868289898023
1.6,-3.140006,26.44712,-263.2290993876305,-0.04081119325198301,7.364724856910528
1.633333,-3.2833340000000004,26.40302,-262.911402723212,0.21871391996627665,4.443417708721091
1.666667,-3.525887,26.40302,-262.3936635739784,0.2554114502079585,0.6996988342535362
1.7,-3.740878,26.40302,-261.93579617375934,0.265361544547531,-0.056911016762097866
1.733333,-3.99997,26.38648,-261.38006727353303,0.2516174203644965,-0.9080188039818635
1.766667,-4.19291,26.39751,-260.9746881298663,0.20482566354569087,-2.6444461199873777
1.8,-4.374826,26.41956,-260.5976861068848,0.07532261228905668,-4.483114370483137
1.833333,-4.330725,26.408530000000003,-260.68697982124064,-0.09404563907693841,-3.7267468138739925
1.866667,-4.203935,26.41405,-260.95692120231337,-0.173125708807774,-1.1937727542441332
1.9,-4.027533,26.46917,-261.3482709811599,-0.17363324441255656,-0.024595633488621704
1.933333,-3.900743,26.4802,-261.6201447092122,-0.17476540130992646,-1.4578969516153664
1.966667,-3.713315,26.47469,-262.0158326930398,-0.2708297083924265,-2.124250720406162
2.0,-3.415636,26.496740000000003,-262.6546358716367,-0.3163843393062251,2.1246034592700616
2.033333,-3.145519,26.47469,-263.224319764467,-0.12919089417673035,7.309100274387964
2.066667,-3.178595,26.45264,-263.14809182737747,0.17089483521871784,6.303230768311563
2.1,-3.4431990000000003,26.408530000000003,-262.57156132333733,0.29103198969545474,0.8144443739437475
2.133333,-3.691265,26.38648,-262.03644262979094,0.22519058385205426,-1.812637315266591
2.166667,-3.845617,26.39751,-261.7113986557238,0.1701892230526814,-1.650007823824711
