Tiempo;Canal A;Canal B
(ms);(V);(mV)

-500,89979891;0,65440840;-37,20206000
-500,57211891;0,65330970;-37,33939000
-500,24443891;0,65330970;-37,43095000
-499,91675891;0,65221110;-37,53777000
-499,58907891;0,65330970;-37,67510000
-499,26139892;0,65550710;-37,65984000
-498,93371892;0,65440840;-37,87347000
-498,60603892;0,65330970;-38,17865000
-498,27835892;0,65330970;-38,13287000
-497,95067892;0,65440840;-38,19391000
-497,62299893;0,65550710;-38,34650000
-497,29531893;0,65663620;-38,48384000
-496,96763893;0,65550710;-38,60591000
-496,63995893;0,65440840;-38,49910000
-496,31227893;0,65440840;-38,57539000
-495,98459894;0,65550710;-38,66695000
-495,65691894;0,65550710;-38,74324000
-495,32923894;0,65550710;-38,77377000
-495,00155894;0,65440840;-38,86532000
-494,67387894;0,65330970;-38,89584000
-494,34619895;0,65330970;-38,98739000
-494,01851895;0,65221110;-39,10947000
-493,69083895;0,65221110;-39,24680000
-493,36315895;0,65108190;-39,46043000
-493,03547895;0,65221110;-39,41465000
-492,70779896;0,65330970;-39,41465000
-492,38011896;0,65440840;-39,53673000
-492,05243896;0,65550710;-39,75036000
-491,72475896;0,65550710;-39,81139000
-491,39707896;0,65663620;-39,96399000
-491,06939897;0,65663620;-39,94873000
-490,74171897;0,65663620;-40,26917000
-490,41403897;0,65663620;-40,36073000
-490,08635897;0,65550710;-40,36073000
-489,75867897;0,65440840;-40,37599000
-489,43099898;0,65330970;-40,40651000
-489,10331898;0,65330970;-40,48280000
-488,77563898;0,65330970;-40,54384000
-488,44795898;0,65440840;-40,57436000
-488,12027898;0,65550710;-40,54384000
-487,79259899;0,65440840;-40,33021000
-487,46491899;0,65440840;-40,31495000
-487,13723899;0,65440840;-40,34547000
-486,80955899;0,65440840;-40,48280000
-486,48187899;0,65550710;-40,46754000
-486,15419900;0,65550710;-40,37599000
-485,82651900;0,65111240;-40,40651000
-485,49883900;0,64998320;-39,81139000
-485,17115900;0,64998320;-39,88769000
-484,84347900;0,64998320;-39,91821000
-484,51579901;0,65111240;-39,67406000
-484,18811901;0,65221110;-39,56725000
-483,86043901;0,65111240;-39,55199000
-483,53275901;0,64778590;-39,76562000
-483,20507901;0,65221110;-39,70458000
-482,87739902;0,65330970;-39,61302000
-482,54971902;0,65330970;-39,62828000
-482,22203902;0,65440840;-39,53673000
-481,89435902;0,65440840;-39,53673000
-481,56667902;0,65440840;-39,50621000
-481,23899903;0,65440840;-39,56725000
-480,91131903;0,65883360;-39,44517000
-480,58363903;0,65883360;-39,35361000
-480,25595903;0,65773490;-39,35361000
-479,92827903;0,65773490;-39,35361000
-479,60059904;0,65663620;-39,61302000
-479,27291904;0,65550710;-39,41465000
-478,94523904;0,65550710;-39,47569000
-478,61755904;0,65663620;-39,55199000
-478,28987904;0,65550710;-39,50621000
-477,96219905;0,65440840;-39,30784000
-477,63451905;0,65440840;-39,00266000
-477,30683905;0,65550710;-38,91110000
-476,97915905;0,65550710;-39,26206000
-476,65147905;0,65663620;-39,17051000
-476,32379906;0,65663620;-39,07895000
-475,99611906;0,65663620;-38,94162000
-475,66843906;0,65773490;-38,97213000
-475,34075906;0,65883360;-38,74324000
-475,01307906;0,65883360;-38,57539000
-474,68539907;0,65773490;-38,37702000
-474,35771907;0,65773490;-38,40754000
-474,03003907;0,65663620;-38,33125000
-473,70235907;0,65550710;-38,17865000
-473,37467907;0,65440840;-37,82769000
-473,04699908;0,65330970;-37,84295000
-472,71931908;0,65330970;-37,69036000
-472,39163908;0,65440840;-37,67510000
-472,06395908;0,65330970;-37,53777000
-471,73627908;0,65330970;-37,29362000
-471,40859909;0,65330970;-37,23258000
-471,08091909;0,65440840;-37,09525000
-470,75323909;0,65330970;-36,97317000
-470,42555909;0,65330970;-36,72902000
-470,09787909;0,65330970;-36,63747000
-469,77019910;0,65330970;-36,54591000
-469,44251910;0,65440840;-36,17969000
-469,11483910;0,65440840;-36,13391000
-468,78715910;0,65440840;-35,92028000
-468,45947910;0,65440840;-35,78295000
-468,13179911;0,65550710;-35,47777000
-467,80411911;0,65550710;-35,34044000
-467,47643911;0,65550710;-35,20310000
-467,14875911;0,65883360;-35,01999000
-466,82107911;0,65993230;-34,69954000
-466,49339912;0,66103090;-34,45539000
-466,16571912;0,66103090;-34,27229000
-465,83803912;0,65993230;-34,05865000
-465,51035912;0,66103090;-33,87555000
-465,18267912;0,66103090;-33,66191000
-464,85499913;0,65993230;-33,52458000
-464,52731913;0,65663620;-33,38725000
-464,19963913;0,65663620;-33,17362000
-463,87195913;0,65550710;-32,89895000
-463,54427913;0,65550710;-32,70058000
-463,21659914;0,65663620;-32,56325000
-462,88891914;0,65550710;-32,33436000
-462,56123914;0,65550710;-31,90710000
-462,23355914;0,65663620;-31,63243000
-461,90587914;0,65550710;-31,46458000
-461,57819915;0,65440840;-31,34251000
-461,25051915;0,65440840;-30,65584000
-460,92283915;0,65773490;-30,47273000
-460,59515915;0,65773490;-30,32014000
-460,26747915;0,65773490;-30,22858000
-459,93979916;0,65773490;-29,81658000
-459,61211916;0,65773490;-29,54192000
-459,28443916;0,65773490;-29,29777000
-458,95675916;0,65773490;-29,09940000
-458,62907916;0,65773490;-28,85525000
-458,30139917;0,65440840;-28,61110000
-457,97371917;0,65330970;-28,48903000
-457,64603917;0,65330970;-28,30592000
-457,31835917;0,65330970;-28,04651000
-456,99067917;0,65221110;-27,86340000
-456,66299918;0,65221110;-27,54295000
-456,33531918;0,65330970;-27,25303000
-456,00763918;0,65330970;-26,99362000
-455,67995918;0,65330970;-26,67318000
-455,35227918;0,65440840;-26,39851000
-455,02459918;0,65550710;-26,15436000
-454,69691919;0,65550710;-25,98651000
-454,36923919;0,65440840;-25,86444000
-454,04155919;0,65440840;-25,66606000
-453,71387919;0,65550710;-25,28458000
-453,38619919;0,65663620;-24,94888000
-453,05851920;0,65663620;-24,62844000
-452,73083920;0,65550710;-24,35377000
-452,40315920;0,65660570;-24,18592000
-452,07547920;0,65660570;-23,91125000
-451,74779920;0,65773490;-23,65184000
-451,42011921;0,65773490;-23,37718000
-451,09243921;0,65550710;-23,20932000
-450,76475921;0,65550710;-22,99570000
-450,43707921;0,65660570;-22,72103000
-450,10939921;0,65773490;-22,38533000
-449,78171922;0,65550710;-22,08014000
-449,45403922;0,65550710;-21,75970000
-449,12635922;0,65550710;-21,45451000
-448,79867922;0,65663620;-21,14932000
-448,47099922;0,65773490;-20,93570000
-448,14331923;0,65773490;-20,73733000
-447,81563923;0,65550710;-20,43214000
-447,48795923;0,65440840;-20,15747000
-447,16027923;0,65440840;-19,89807000
-446,83259923;0,65663620;-19,68444000
-446,50491924;0,65773490;-19,68444000
-446,17723924;0,65773490;-19,40977000
-445,84955924;0,65663620;-19,10459000
-445,52187924;0,65550710;-18,87570000
-445,19419924;0,65660570;-18,57051000
-444,86651925;0,65660570;-18,32636000
-444,53883925;0,64888450;-18,05170000
-444,21115925;0,64778590;-17,73125000
-443,88347925;0,64668720;-17,34977000
-443,55579925;0,64558860;-16,95303000
-443,22811926;0,64558860;-16,84622000
-442,90043926;0,64668720;-16,46474000
-442,57275926;0,64336070;-16,26636000
-442,24507926;0,64336070;-15,86962000
-441,91739926;0,65111240;-15,47288000
-441,58971927;0,64998320;-15,18296000
-441,26203927;0,65111240;-14,93881000
-440,93435927;0,65221110;-14,45051000
-440,60667927;0,64888450;-14,14533000
-440,27899927;0,64778590;-13,74859000
-439,95131928;0,65221110;-13,48918000
-439,62363928;0,65221110;-13,18400000
-439,29595928;0,65330970;-12,92459000
-438,96827928;0,65440840;-12,66518000
