Time,Signal
0.0,3889.62
0.0011627906976744,3887.56
0.0023255813953488,3888.5
0.0034883720930232,3884.56
0.0046511627906976,3887.37
0.0058139534883721,3883.25
0.0069767441860465,3881.37
0.0081395348837209,3798.12
0.0093023255813953,3709.44
0.0104651162790697,3623.94
0.0116279069767442,3542.94
0.0127906976744186,3464.75
0.013953488372093,3389.0
0.0151162790697673,3317.0
0.0162790697674418,3245.75
0.0174418604651162,3178.0600000000004
0.0186046511627906,3111.5
0.0197674418604651,3046.62
0.0209302325581395,2984.56
0.0220930232558139,2922.69
0.0232558139534883,2864.0
0.0244186046511628,2805.87
0.0255813953488372,2749.44
0.0267441860465116,2694.87
0.027906976744186,2640.69
0.0290697674418604,2589.12
0.0302325581395349,2537.75
0.0313953488372093,2488.25
0.0325581395348837,2440.06
0.0337209302325581,2392.06
0.0348837209302325,2346.5
0.0360465116279068,2300.94
0.0372093023255814,2256.87
0.0383720930232558,2213.94
0.0395348837209302,2171.56
0.0406976744186046,2130.69
0.041860465116279,2090.0
0.0430232558139535,2051.0
0.0441860465116279,2012.56
0.0453488372093023,1974.69
0.0465116279069767,1938.31
0.0476744186046511,1901.75
0.0488372093023256,1866.87
0.05,1832.37
0.0511627906976744,1797.31
0.0523255813953488,1766.75
0.0534883720930232,1726.44
0.0546511627906976,1701.87
0.0558139534883721,1667.75
0.0569767441860465,1635.12
0.0581395348837209,1612.81
0.0593023255813953,1574.0
0.0604651162790697,1554.12
0.0616279069767441,1521.5
0.0627906976744186,1493.19
0.063953488372093,1472.75
0.0651162790697674,1436.56
0.0662790697674418,1420.62
0.0674418604651163,1388.94
0.0686046511627907,1365.12
0.0697674418604651,1345.62
0.0709302325581395,1312.44
0.0720930232558139,1299.5
0.0732558139534883,1268.56
0.0744186046511628,1249.06
0.0755813953488372,1230.12
0.0767441860465116,1200.31
0.077906976744186,1189.62
0.0790697674418604,1159.62
0.0802325581395348,1144.25
0.0813953488372093,1125.31
0.0825581395348837,1098.69
0.0837209302325581,1089.69
0.0848837209302325,1060.62
