Tiempo (s),Datos Seriales
0.0,12.94
0.0011627906976744186,33.94
0.002325581395348837,48.19
0.0034883720930232558,63.0
0.004651162790697674,70.12
0.005813953488372093,79.5
0.0069767441860465115,85.12
0.00813953488372093,88.87
0.009302325581395349,94.87
0.010465116279069767,95.25
0.011627906976744186,99.94
0.012790697674418604,100.5
0.013953488372093023,102.0
0.015116279069767442,104.44
0.01627906976744186,103.12
0.01744186046511628,106.31
0.018604651162790697,105.0
0.019767441860465116,106.31
0.020930232558139535,107.62
0.022093023255813953,105.75
0.023255813953488372,108.75
0.02441860465116279,106.5
0.02558139534883721,108.19
0.026744186046511628,108.19
0.027906976744186046,107.06
0.029069767441860465,109.5
0.030232558139534883,107.06
0.031395348837209305,109.12
0.03255813953488372,108.37
0.033720930232558136,108.0
0.03488372093023256,109.69
0.03604651162790698,107.06
0.037209302325581395,109.69
0.03837209302325581,108.0
0.03953488372093023,108.37
0.040697674418604654,109.5
0.04186046511627907,107.44
0.043023255813953484,110.25
0.044186046511627906,107.81
0.04534883720930233,108.94
0.046511627906976744,109.31
0.04767441860465116,107.62
0.04883720930232558,110.06
0.05,107.81
0.05116279069767442,109.5
0.05232558139534883,108.94
0.053488372093023255,108.19
0.05465116279069768,110.44
0.05581395348837209,107.81
0.05697674418604651,109.87
0.05813953488372093,108.56
0.05930232558139535,108.56
0.06046511627906977,110.06
0.06162790697674418,107.62
0.06279069767441861,110.25
0.06395348837209303,108.37
0.06511627906976744,108.94
0.06627906976744186,109.69
0.06744186046511627,107.44
0.0686046511627907,110.25
0.06976744186046512,108.0
0.07093023255813953,109.31
0.07209302325581396,109.5
0.07325581395348837,107.81
0.07441860465116279,110.44
0.0755813953488372,107.81
0.07674418604651162,109.5
0.07790697674418605,108.94
0.07906976744186046,108.19
0.08023255813953488,110.25
0.08139534883720931,107.62
0.08255813953488372,110.06
0.08372093023255814,108.56
0.08488372093023255,108.56
0.08604651162790697,109.87
0.0872093023255814,107.62
0.08837209302325581,110.25
0.08953488372093023,108.37
0.09069767441860466,109.12
0.09186046511627907,109.69
0.09302325581395349,107.62
0.0941860465116279,110.44
0.09534883720930232,108.0
0.09651162790697675,109.5
0.09767441860465116,109.31
0.09883720930232558,108.0
0.1,110.44
0.10116279069767442,107.81
0.10232558139534884,109.87
0.10348837209302325,109.12
0.10465116279069767,108.37
0.1058139534883721,110.44
0.10697674418604651,107.81
0.10813953488372093,110.25
0.10930232558139535,108.56
0.11046511627906977,108.94
0.11162790697674418,109.87
0.1127906976744186,107.81
0.11395348837209301,110.25
0.11511627906976744,108.37
0.11627906976744186,109.12
0.11744186046511627,109.69
0.1186046511627907,107.81
0.11976744186046512,110.44
0.12093023255813953,108.0
0.12209302325581395,109.69
0.12325581395348836,109.31
0.12441860465116279,108.19
0.12558139534883722,110.44
0.12674418604651164,107.81
0.12790697674418605,109.87
0.12906976744186047,108.94
0.13023255813953488,108.56
0.1313953488372093,110.25
0.1325581395348837,107.62
0.13372093023255813,110.25
0.13488372093023254,108.37
0.13604651162790699,108.94
0.1372093023255814,109.87
0.13837209302325582,107.62
0.13953488372093023,110.25
0.14069767441860465,108.19
0.14186046511627906,109.31
0.14302325581395348,109.69
0.14418604651162792,108.0
0.14534883720930233,110.44
0.14651162790697675,108.0
0.14767441860465116,109.87
0.14883720930232558,109.31
0.15,108.37
0.1511627906976744,110.44
0.15232558139534882,107.81
0.15348837209302324,110.25
0.15465116279069768,108.75
0.1558139534883721,108.75
0.1569767441860465,110.25
0.15813953488372093,107.81
0.15930232558139534,110.25
0.16046511627906976,108.37
0.16162790697674417,109.12
0.16279069767441862,109.87
0.16395348837209303,108.0
0.16511627906976745,110.44
0.16627906976744186,108.19
0.16744186046511628,109.5
0.1686046511627907,109.5
0.1697674418604651,108.19
0.17093023255813952,110.44
0.17209302325581394,108.0
0.17325581395348838,110.06
0.1744186046511628,109.12
0.1755813953488372,108.56
0.17674418604651163,110.44
0.17790697674418604,107.81
0.17906976744186046,110.25
0.18023255813953487,108.75
0.1813953488372093,108.75
0.18255813953488373,110.06
0.18372093023255814,107.81
0.18488372093023256,110.25
0.18604651162790697,108.37
0.1872093023255814,109.12
0.1883720930232558,109.87
0.18953488372093022,108.0
0.19069767441860463,110.44
0.19186046511627908,108.19
0.1930232558139535,109.69
0.1941860465116279,109.31
0.19534883720930232,108.37
0.19651162790697674,110.44
0.19767441860465115,108.0
0.19883720930232557,110.06
0.2,109.12
0.20116279069767443,108.56
0.20232558139534884,110.44
