Tiempo (s),Datos Seriales
0.0,0.19
0.0014285714285714286,0.0
0.002857142857142857,0.19
0.004285714285714286,0.19
0.005714285714285714,0.19
0.007142857142857143,0.19
0.008571428571428572,0.19
0.01,0.19
0.011428571428571429,0.19
0.012857142857142857,0.19
0.014285714285714285,0.19
0.015714285714285715,0.19
0.017142857142857144,0.0
0.018571428571428572,0.19
0.02,0.19
0.02142857142857143,0.19
0.022857142857142857,0.19
0.024285714285714285,0.37
0.025714285714285714,10.88
0.027142857142857142,75.75
0.02857142857142857,137.81
0.03,204.56
0.03142857142857143,274.5
0.032857142857142856,347.06
0.03428571428571429,421.31
0.03571428571428571,500.25
0.037142857142857144,579.0
0.03857142857142857,661.69
0.04,746.63
0.041428571428571426,831.94
0.04285714285714286,916.69
0.04428571428571428,997.69
0.045714285714285714,1083.38
0.047142857142857146,1168.5
0.04857142857142857,1251.94
0.05,1338.56
0.05142857142857143,1423.13
0.05285714285714286,1505.63
0.054285714285714284,1594.88
0.055714285714285716,1685.44
0.05714285714285714,1782.56
0.05857142857142857,1880.81
0.06,1972.13
0.06142857142857143,2055.94
0.06285714285714286,2135.44
0.06428571428571428,2206.87
0.06571428571428571,2278.87
0.06714285714285714,2345.44
0.06857142857142857,2412.0
0.07,2475.19
0.07142857142857142,2538.56
0.07285714285714286,2590.69
0.07428571428571429,2641.12
0.07571428571428572,2690.25
0.07714285714285714,2728.12
0.07857142857142857,2766.94
0.08,2801.06
0.08142857142857143,2831.62
0.08285714285714285,2867.44
0.08428571428571428,2899.87
0.08571428571428572,2925.19
0.08714285714285715,2951.62
0.08857142857142856,2964.37
0.09,2967.37
0.09142857142857143,2967.0
0.09285714285714286,2962.5
0.09428571428571429,2951.25
0.09571428571428571,2924.81
0.09714285714285714,2895.19
0.09857142857142857,2856.56
0.1,2817.56
0.10142857142857142,2770.87
0.10285714285714286,2720.06
0.10428571428571429,2670.37
0.10571428571428572,2607.75
0.10714285714285714,2542.31
0.10857142857142857,2475.94
0.11,2405.44
0.11142857142857143,2341.12
0.11285714285714285,2277.37
0.11428571428571428,2213.25
0.11571428571428571,2149.69
0.11714285714285715,2085.19
0.11857142857142858,2017.13
0.12,1951.13
0.12142857142857143,1885.13
0.12285714285714286,1816.13
0.12428571428571429,1755.19
0.12571428571428572,1694.06
0.12714285714285714,1636.88
0.12857142857142856,1578.38
0.13,1523.81
0.13142857142857142,1460.06
0.13285714285714287,1406.44
0.13428571428571429,1342.13
0.1357142857142857,1275.75
0.13714285714285715,1210.5
0.13857142857142857,1143.75
0.14,1068.75
0.14142857142857143,992.63
0.14285714285714285,918.38
0.1442857142857143,842.44
0.1457142857142857,763.5
0.14714285714285713,687.0
0.14857142857142858,615.38
0.15,546.94
0.15142857142857144,478.31
0.15285714285714286,410.25
0.15428571428571428,348.38
0.15571428571428572,290.44
0.15714285714285714,242.63
0.15857142857142856,194.25
0.16,153.38
0.16142857142857142,125.62
0.16285714285714287,105.19
0.16428571428571428,91.5
0.1657142857142857,85.5
0.16714285714285715,84.37
0.16857142857142857,84.56
0.17,85.12
0.17142857142857143,85.87
0.17285714285714285,86.62
0.1742857142857143,87.0
0.1757142857142857,87.0
0.17714285714285713,87.0
0.17857142857142858,87.0
0.18,87.0
0.18142857142857144,87.19
0.18285714285714286,87.19
0.18428571428571427,87.19
0.18571428571428572,87.75
0.18714285714285714,89.62
0.18857142857142858,90.0
0.19,92.44
0.19142857142857142,97.31
0.19285714285714287,102.75
0.19428571428571428,114.56
0.1957142857142857,126.19
0.19714285714285715,142.13
0.19857142857142857,166.31
0.2,198.56
0.20142857142857143,236.06
0.20285714285714285,277.69
0.2042857142857143,325.31
0.2057142857142857,373.69
0.20714285714285716,427.69
0.20857142857142857,485.44
0.21,544.13
0.21142857142857144,605.25
0.21285714285714286,669.19
0.21428571428571427,737.06
0.21571428571428572,802.31
0.21714285714285714,868.69
0.21857142857142858,936.0
0.22,998.81
0.22142857142857142,1067.63
0.22285714285714286,1135.69
0.22428571428571428,1197.19
0.2257142857142857,1257.56
0.22714285714285715,1320.75
0.22857142857142856,1379.81
0.23,1439.44
0.23142857142857143,1495.31
0.23285714285714285,1551.75
0.2342857142857143,1609.88
0.2357142857142857,1664.06
0.23714285714285716,1718.63
0.23857142857142857,1780.31
0.24,1840.69
0.24142857142857144,1908.0
0.24285714285714285,1965.19
0.24428571428571427,2019.75
0.24571428571428572,2067.56
0.24714285714285714,2119.5
0.24857142857142858,2166.19
0.25,2210.06
0.25142857142857145,2255.25
0.25285714285714284,2296.5
0.2542857142857143,2331.37
0.2557142857142857,2373.75
0.2571428571428571,2411.62
0.25857142857142856,2447.62
0.26,2482.31
0.26142857142857145,2513.62
0.26285714285714284,2543.44
0.2642857142857143,2565.56
0.26571428571428574,2591.06
0.2671428571428571,2610.0
0.26857142857142857,2629.5
0.27,2644.69
0.2714285714285714,2662.12
0.27285714285714285,2676.0
0.2742857142857143,2679.94
0.2757142857142857,2681.06
0.27714285714285714,2678.62
0.2785714285714286,2673.37
0.28,2651.06
0.2814285714285714,2623.87
0.28285714285714286,2586.37
0.2842857142857143,2543.44
0.2857142857142857,2493.0
0.28714285714285714,2446.12
0.2885714285714286,2394.19
0.29,2342.06
0.2914285714285714,2296.87
0.29285714285714287,2246.06
0.29428571428571426,2193.75
0.2957142857142857,2140.12
0.29714285714285715,2086.69
0.2985714285714286,2033.06
0.3,1977.38
0.30142857142857143,1929.56
0.3028571428571429,1877.25
0.30428571428571427,1827.38
0.3057142857142857,1786.13
0.30714285714285716,1741.13
0.30857142857142855,1695.19
0.31,1653.38
0.31142857142857144,1606.5
0.31285714285714283,1553.63
0.3142857142857143,1503.56
0.3157142857142857,1446.94
0.3171428571428571,1391.81
0.31857142857142856,1332.0
0.32,1264.88
0.32142857142857145,1198.88
0.32285714285714284,1128.38
0.3242857142857143,1053.19
0.32571428571428573,978.38
0.3271428571428571,906.75
0.32857142857142857,831.94
0.33,756.38
0.3314285714285714,679.31
0.33285714285714285,607.88
0.3342857142857143,536.63
0.3357142857142857,468.19
0.33714285714285713,396.75
0.3385714285714286,330.19
0.34,259.5
0.3414285714285714,189.19
0.34285714285714286,125.44
0.3442857142857143,64.5
0.3457142857142857,6.19
0.34714285714285714,0.56
0.3485714285714286,0.19
0.35,0.19
0.3514285714285714,0.19
0.35285714285714287,0.19
0.35428571428571426,0.19
0.3557142857142857,0.19
0.35714285714285715,0.19
0.3585714285714286,0.0
0.36,0.19
0.36142857142857143,0.19
0.3628571428571429,0.19
0.36428571428571427,0.19
0.3657142857142857,0.19
0.36714285714285716,0.0
0.36857142857142855,0.19
0.37,0.0
0.37142857142857144,0.0
0.37285714285714283,0.19
0.3742857142857143,0.19
0.3757142857142857,0.0
0.37714285714285717,0.19
0.37857142857142856,0.19
0.38,0.19
0.38142857142857145,0.19
0.38285714285714284,0.0
0.3842857142857143,0.19
0.38571428571428573,0.19
0.3871428571428571,0.19
0.38857142857142857,0.37
0.39,0.56
0.3914285714285714,19.31
0.39285714285714285,84.75
0.3942857142857143,145.31
0.39571428571428574,215.06
0.39714285714285713,286.88
0.3985714285714286,359.63
0.4,435.38
0.4014285714285714,511.13
0.40285714285714286,587.06
0.4042857142857143,663.56
0.4057142857142857,741.0
0.40714285714285714,818.25
0.4085714285714286,895.69
0.41,973.31
0.4114285714285714,1052.44
0.41285714285714287,1131.94
0.4142857142857143,1207.5
0.4157142857142857,1286.25
0.41714285714285715,1365.0
0.4185714285714286,1446.0
0.42,1531.31
0.42142857142857143,1613.81
0.4228571428571429,1695.19
0.42428571428571427,1781.81
0.4257142857142857,1864.69
0.42714285714285716,1949.81
0.42857142857142855,2022.0
0.43,2089.12
0.43142857142857144,2149.31
0.43285714285714283,2206.12
0.4342857142857143,2261.25
0.4357142857142857,2315.25
0.43714285714285717,2363.06
0.43857142857142856,2412.56
0.44,2460.0
0.44142857142857145,2500.69
0.44285714285714284,2541.0
0.4442857142857143,2573.62
0.44571428571428573,2608.69
0.4471428571428571,2637.94
0.44857142857142857,2671.87
0.45,2697.75
0.4514285714285714,2723.62
0.45285714285714285,2750.25
0.4542857142857143,2772.56
0.45571428571428574,2799.37
0.45714285714285713,2828.06
0.4585714285714286,2850.0
0.46,2878.69
0.4614285714285714,2902.69
0.46285714285714286,2929.69
0.4642857142857143,2954.62
0.4657142857142857,2982.75
0.46714285714285714,3003.75
0.4685714285714286,3030.56
0.47,3052.87
0.4714285714285714,3079.12
0.47285714285714286,3102.75
0.4742857142857143,3126.19
0.4757142857142857,3149.25
0.47714285714285715,3165.75
0.4785714285714286,3175.69
0.48,3177.19
0.48142857142857143,3177.94
0.4828571428571429,3176.62
0.48428571428571426,3170.25
0.4857142857142857,3160.12
0.48714285714285716,3144.0
0.48857142857142855,3122.25
0.49,3098.25
0.49142857142857144,3065.62
0.4928571428571429,3030.19
0.4942857142857143,2991.0
0.4957142857142857,2949.19
0.49714285714285716,2895.56
0.49857142857142855,2840.62
0.5,2784.19
0.5014285714285714,2722.12
0.5028571428571429,2660.25
0.5042857142857143,2594.06
0.5057142857142857,2531.06
0.5071428571428571,2465.81
0.5085714285714286,2399.44
0.51,2335.69
0.5114285714285715,2277.19
0.5128571428571429,2222.25
0.5142857142857142,2166.19
0.5157142857142857,2110.5
0.5171428571428571,2052.37
0.5185714285714286,1996.31
0.52,1940.63
0.5214285714285715,1872.94
0.5228571428571429,1805.25
0.5242857142857142,1737.75
0.5257142857142857,1671.56
0.5271428571428571,1607.81
0.5285714285714286,1540.13
0.53,1470.19
0.5314285714285715,1405.88
0.5328571428571428,1326.75
0.5342857142857143,1246.88
0.5357142857142857,1168.69
0.5371428571428571,1085.25
0.5385714285714286,1001.81
0.54,921.0
0.5414285714285715,838.13
0.5428571428571428,753.94
0.5442857142857143,670.5
0.5457142857142857,588.0
0.5471428571428572,511.5
0.5485714285714286,446.25
0.55,379.31
0.5514285714285714,319.88
0.5528571428571428,256.31
0.5542857142857143,189.94
0.5557142857142857,127.69
0.5571428571428572,69.94
0.5585714285714286,10.5
0.56,0.56
0.5614285714285714,0.37
0.5628571428571428,0.19
0.5642857142857143,0.37
0.5657142857142857,0.19
0.5671428571428572,0.19
0.5685714285714286,0.37
0.57,0.19
0.5714285714285714,0.37
0.5728571428571428,0.37
0.5742857142857143,0.56
0.5757142857142857,0.56
0.5771428571428572,13.31
0.5785714285714286,68.25
0.58,119.25
0.5814285714285714,176.25
0.5828571428571429,244.69
0.5842857142857143,314.63
0.5857142857142857,384.19
0.5871428571428572,460.5
0.5885714285714285,536.06
0.59,615.38
0.5914285714285714,692.06
0.5928571428571429,774.56
0.5942857142857143,855.0
0.5957142857142858,937.5
0.5971428571428572,1020.0
0.5985714285714285,1108.13
0.6,1195.5
0.6014285714285714,1284.75
0.6028571428571429,1373.25
0.6042857142857143,1457.44
0.6057142857142858,1548.0
0.6071428571428571,1640.63
0.6085714285714285,1736.81
0.61,1837.69
0.6114285714285714,1941.56
0.6128571428571429,2024.44
0.6142857142857143,2100.37
0.6157142857142857,2162.06
0.6171428571428571,2220.37
0.6185714285714285,2272.69
0.62,2319.75
0.6214285714285714,2361.37
0.6228571428571429,2406.19
0.6242857142857143,2447.62
0.6257142857142857,2487.37
0.6271428571428571,2529.37
0.6285714285714286,2562.0
0.63,2599.87
0.6314285714285715,2632.31
0.6328571428571429,2667.75
0.6342857142857142,2695.12
0.6357142857142857,2720.25
0.6371428571428571,2743.5
0.6385714285714286,2763.0
0.64,2782.5
0.6414285714285715,2799.75
0.6428571428571429,2811.37
0.6442857142857142,2820.75
0.6457142857142857,2824.31
0.6471428571428571,2822.81
0.6485714285714286,2819.44
0.65,2809.69
0.6514285714285715,2791.87
0.6528571428571428,2771.81
0.6542857142857142,2739.37
0.6557142857142857,2705.25
0.6571428571428571,2663.62
0.6585714285714286,2616.56
0.66,2567.62
0.6614285714285715,2518.31
0.6628571428571428,2471.06
0.6642857142857143,2424.56
0.6657142857142857,2377.87
0.6671428571428571,2328.56
0.6685714285714286,2282.25
0.67,2230.31
0.6714285714285714,2175.37
0.6728571428571428,2117.25
0.6742857142857143,2057.25
0.6757142857142857,1989.94
0.6771428571428572,1918.5
0.6785714285714286,1832.44
0.68,1752.94
0.6814285714285714,1672.5
0.6828571428571428,1597.88
0.6842857142857143,1524.0
0.6857142857142857,1449.75
0.6871428571428572,1382.44
0.6885714285714286,1315.13
0.69,1250.25
0.6914285714285714,1187.63
0.6928571428571428,1127.25
0.6942857142857143,1062.19
0.6957142857142857,997.13
0.6971428571428572,930.38
0.6985714285714286,857.06
0.7,779.81
0.7014285714285714,704.81
0.7028571428571428,626.25
0.7042857142857143,543.56
0.7057142857142857,458.06
0.7071428571428572,369.0
0.7085714285714285,281.06
0.71,189.56
0.7114285714285714,102.75
0.7128571428571429,13.88
0.7142857142857143,0.37
0.7157142857142857,0.19
0.7171428571428572,0.19
0.7185714285714285,0.19
0.72,0.19
0.7214285714285714,0.0
0.7228571428571429,0.19
0.7242857142857143,0.0
0.7257142857142858,0.19
0.7271428571428571,0.0
0.7285714285714285,0.19
0.73,0.19
0.7314285714285714,0.0
0.7328571428571429,0.19
0.7342857142857143,0.0
0.7357142857142858,0.0
0.7371428571428571,0.19
0.7385714285714285,0.19
0.74,0.19
0.7414285714285714,0.0
0.7428571428571429,0.0
0.7442857142857143,0.0
0.7457142857142857,0.19
0.7471428571428571,0.0
0.7485714285714286,0.19
0.75,0.19
0.7514285714285714,0.19
0.7528571428571429,0.19
0.7542857142857143,0.19
0.7557142857142857,0.37
0.7571428571428571,1.88
0.7585714285714286,63.94
0.76,136.69
