f_motor (Hz);w_f (rad/s);P_m (N·m);theta_m_teorico (rad);theta_m_exp (rad);FA;r = w_f/w_n
3.0;18.84955592153876;0.8979287127275889;0.00045259215291044573;0.0004852552220888355;1.6212485976135085;0.58195967646
3.5;21.991148575128552;1.2221807478792182;0.0007558001616152433;0.0006940853541416566;1.703721864411784;0.67895295587
4.0;25.132741228718345;1.5963177115157134;0.0013372605043500117;0.001223854381752701;2.30002030220659;0.77594623528
