Tiempo(ms),Q1(deg),Q2(deg),Q3(deg),Q4(deg)
7703,-89.97,89.83,-89.90,89.85
7713,-89.97,89.83,-89.90,89.85
7723,-89.97,89.83,-89.90,89.85
7733,-89.97,89.83,-89.90,89.85
7743,-89.97,89.83,-89.90,89.85
7753,-89.97,89.83,-89.90,89.85
7763,-89.97,89.83,-89.90,89.85
7773,-89.97,89.83,-89.90,89.85
7783,-89.97,89.83,-89.90,89.85
7793,-89.97,89.83,-89.89,89.85
7803,-89.97,89.83,-89.89,89.85
7813,-89.97,89.83,-89.89,89.85
7823,-89.97,89.83,-89.89,89.85
7833,-89.97,89.83,-89.89,89.85
7843,-89.97,89.83,-89.89,89.85
7853,-89.97,89.83,-89.89,89.85
7863,-89.97,89.83,-89.89,89.85
7873,-89.97,89.83,-89.89,89.85
7883,-89.97,89.83,-89.89,89.85
7893,-89.97,89.83,-89.89,89.85
7903,-89.97,89.83,-89.89,89.85
7913,-89.97,89.83,-89.89,89.85
7923,-89.97,89.83,-89.89,89.85
7933,-89.97,89.83,-89.89,89.85
7943,-89.97,89.83,-89.89,89.85
7953,-89.97,89.83,-89.89,89.85
7963,-89.97,89.83,-89.89,89.85
7973,-89.97,89.83,-89.89,89.85
7983,-89.97,89.83,-89.89,89.85
7993,-89.97,89.83,-89.89,89.85
