P1,Q2,P2,P3,P4,Ad,F
6,0,0,0,0,0,6
9,3,9,19,10,2,52
,,,,,,
,,,,,,
P1,Q1,P2,P3,P4,Ad,F
9,3,8,19,8,0,47
25,3,19,18,16,2,83
15,0,5,0,0,3,23
19,3,15,25,25,0,87
0,0,0,0,0,0,0
14,3,0,11,5,0,33
6,0,0,0,0,0,6
4,0,0,0,0,0,4
7,3,17,19,18,0,64
0,0,0,0,0,0,0
8,0,8,0,0,0,16
13,0,0,0,0,0,13
0,0,0,0,0,0,0
10,3,4,8,0,0,25
0,3,12,8,0,3,26
5,0,0,0,,0,5
0,0,0,0,0,0,0
0,3,8,6,0,0,17
9,3,13,8,0,0,33
0,0,0,0,0,0,0
5,0,0,0,0,0,5
10,3,7,8,0,0,28
16,3,23,16,25,0,83
0,0,0,0,0,0,0
12,3,13,19,11,0,58
3,0,0,0,0,0,3
5,0,12,0,0,0,17
0,0,5,0,0,0,5
12,3,12,5,0,0,32
0,0,13,0,0,0,13
6,0,0,0,0,0,6
0,3,15,18,11,0,47
0,3,7,5,0,0,15
3,3,4,0,0,0,10
18,3,16,15,25,0,77
20,3,17,15,24,2,81
15,3,8,22,25,2,75
15,3,14,15,25,5,77
8,3,8,19,18,2,58
13,0,0,0,0,0,13
6,3,16,7,17,0,49
