Tiempo,Senal 1,Senal 2,Senal 3,Senal 4,Senal 5,Senal 6,Senal 7
5.4426374435424805,-1.458069,-2.852691,10.358514,-0.043966,-0.003198,-0.01279,25.927057
5.553164482116699,-1.459266,-2.852691,10.358514,-0.042634,-0.003997,-0.012257,25.938823
5.663734674453735,-1.466449,-2.839523,10.377668,-0.043966,-0.003997,-0.013057,25.944705
5.770344495773315,-1.467646,-2.844312,10.369288,-0.043966,-0.00373,-0.01279,25.924116
5.881173372268677,-1.483208,-2.847903,10.386048,-0.043433,-0.004263,-0.012524,25.941764
5.990775108337402,-1.471237,-2.841917,10.365696,-0.043433,-0.00373,-0.012524,25.941764
6.097963333129883,-1.46166,-2.839523,10.357317,-0.043167,-0.00453,-0.01279,25.941764
6.2083282470703125,-1.47004,-2.847903,10.365696,-0.043966,-0.003464,-0.013057,25.941764
6.318353176116943,-1.472434,-2.843115,10.365696,-0.043167,-0.00453,-0.013323,25.93588
6.42536735534668,-1.467646,-2.8491,10.371683,-0.044499,-0.00373,-0.013057,25.941764
6.536391973495483,-1.467646,-2.8491,10.360908,-0.040502,-0.005596,-0.012524,25.93588
6.6464173793792725,-1.473631,-2.844312,10.366894,-0.044766,-0.003198,-0.013057,25.944705
6.75344181060791,-1.465251,-2.843115,10.369288,-0.043966,-0.00373,-0.013057,25.938823
6.864467144012451,-1.467646,-2.839523,10.358514,-0.043167,-0.004263,-0.011991,25.938823
6.974491596221924,-1.467646,-2.845509,10.3645,-0.045032,-0.003997,-0.013057,25.941764
7.081515550613403,-1.477222,-2.843115,10.354923,-0.0437,-0.00373,-0.013057,25.941764
7.191540956497192,-1.47004,-2.845509,10.363303,-0.0437,-0.00373,-0.011991,25.93588
7.301565408706665,-1.459266,-2.845509,10.359711,-0.0429,-0.00373,-0.01279,25.941764
7.409232139587402,-1.465251,-2.855086,10.372879,-0.0437,-0.00373,-0.013057,25.938823
7.519717693328857,-1.47004,-2.841917,10.382456,-0.0429,-0.004263,-0.012524,25.932939
7.6302170753479,-1.460463,-2.844312,10.375273,-0.045032,-0.003464,-0.013057,25.947647
7.7366344928741455,-1.467646,-2.850297,10.369288,-0.042101,-0.004796,-0.012524,25.932939
7.847234725952148,-1.465251,-2.8491,10.369288,-0.044766,-0.00373,-0.012257,25.938823
7.957805871963501,-1.460463,-2.855086,10.374076,-0.042634,-0.004263,-0.012257,25.938823
8.064532995223999,-1.465251,-2.8491,10.386048,-0.0429,-0.004263,-0.013057,25.941764
8.175232172012329,-1.459266,-2.841917,10.362106,-0.042101,-0.005063,-0.01279,25.95647
8.285260915756226,-1.460463,-2.844312,10.370485,-0.0437,-0.00453,-0.012524,25.947647
8.392268419265747,-1.468843,-2.8491,10.363303,-0.044499,-0.003997,-0.01279,25.950588
8.502832889556885,-1.471237,-2.843115,10.366894,-0.0429,-0.003997,-0.012524,25.938823
8.613247394561768,-1.460463,-2.838326,10.362106,-0.043433,-0.003997,-0.01279,25.944705
8.723817825317383,-1.473631,-2.841917,10.353726,-0.043433,-0.004263,-0.012524,25.944705
8.830265283584595,-1.477222,-2.838326,10.368091,-0.043167,-0.00373,-0.012524,25.944705
8.94053602218628,-1.47004,-2.843115,10.370485,-0.045032,-0.002931,-0.01279,25.944705
9.051250696182251,-1.468843,-2.843115,10.377668,-0.043167,-0.00373,-0.012524,25.944705
9.15861201286316,-1.468843,-2.850297,10.374076,-0.044233,-0.003464,-0.011991,25.938823
9.26863408088684,-1.47004,-2.8491,10.366894,-0.042634,-0.005063,-0.01279,25.944705
9.378738403320312,-1.466449,-2.837129,10.372879,-0.043167,-0.00373,-0.013057,25.944705
9.485863208770752,-1.468843,-2.84072,10.362106,-0.0437,-0.004263,-0.012257,25.941764
9.595634937286377,-1.47004,-2.84072,10.369288,-0.043167,-0.00373,-0.013057,25.941764
9.706848382949829,-1.460463,-2.850297,10.360908,-0.043167,-0.004263,-0.012524,25.938823
9.81345820426941,-1.456872,-2.855086,10.370485,-0.043966,-0.004263,-0.01279,25.932939
9.92386269569397,-1.468843,-2.845509,10.370485,-0.044499,-0.003464,-0.013057,25.938823
10.034443616867065,-1.46166,-2.850297,10.378865,-0.044233,-0.003198,-0.013057,25.93588
